"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 25 08:14:35 UTC 2025","Sat Oct 25 08:14:35 UTC 2025","1","tests","test_login","","","","test_login[case0]",""
"passed","Sat Oct 25 08:14:35 UTC 2025","Sat Oct 25 08:14:35 UTC 2025","0","tests","test_login","","","","test_login[case1]",""
